"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","474","Успешное выключение агента","","Fri Jan 16 16:31:52 UTC 2026","broken","Fri Jan 16 16:31:52 UTC 2026","","api.agents.UpdateAgentTest","api.agents.UpdateAgentTest","userCanDisableAgentTest"
"","763","Получение проекта","","Fri Jan 16 16:31:36 UTC 2026","passed","Fri Jan 16 16:31:36 UTC 2026","","api.projects.GetProjectTest","api.projects.GetProjectTest","userCanGetProjectById"
"","603","Невозможность получения проекта с невалидным id","","Fri Jan 16 16:31:36 UTC 2026","passed","Fri Jan 16 16:31:37 UTC 2026","","api.projects.GetProjectTest","api.projects.GetProjectTest","userCannotGetProjectWithInvalidId"
"","855","Юзер создает билд","","Fri Jan 16 16:31:34 UTC 2026","passed","Fri Jan 16 16:31:35 UTC 2026","","api.builds.BuildPositiveTest","api.builds.BuildPositiveTest","userCanCreateBuild"
"","399","Неспешное создание проекта из репозитория с невалидным id [1] id=, expectedError=PROJECT_ID_EMPTY","","Fri Jan 16 16:31:45 UTC 2026","passed","Fri Jan 16 16:31:45 UTC 2026","","api.projects.CreateProjectTest","api.projects.CreateProjectTest","userCannotCreateProjectFromRepositoryWithInvalidData"
"","583","Неспешное создание проекта из репозитория с существующим id","","Fri Jan 16 16:31:44 UTC 2026","passed","Fri Jan 16 16:31:44 UTC 2026","","api.projects.CreateProjectTest","api.projects.CreateProjectTest","userCannotCreateProjectFromRepositoryWithExistingId"
"","385","Успешное добавление роли пользователю [4] roles=USER_ROLE","","Fri Jan 16 16:31:55 UTC 2026","passed","Fri Jan 16 16:31:55 UTC 2026","","api.users.AssignUserRoleTest","api.users.AssignUserRoleTest","successfullyAddRoleWithValidData"
"","11893","Редактировнаие проекта","","Fri Jan 16 16:32:38 UTC 2026","passed","Fri Jan 16 16:32:50 UTC 2026","","ui.projects.UpdateProjectTest","ui.projects.UpdateProjectTest","userCanUpdateProject"
"","936","Юзер не может удалить несуществующий билд [1] invalidId=2147483647","","Fri Jan 16 16:31:30 UTC 2026","passed","Fri Jan 16 16:31:31 UTC 2026","","api.builds.BuildNegativeTest","api.builds.BuildNegativeTest","userCantDeleteNonExistedBuild"
"","7267","Успешное создание проекта мануально","","Fri Jan 16 16:32:58 UTC 2026","failed","Fri Jan 16 16:33:05 UTC 2026","","ui.projects.CreateProjectTest","ui.projects.CreateProjectTest","userCanCreateProjectManually"
"","481","Невозможность Удаления проекта с невалидным id","","Fri Jan 16 16:31:38 UTC 2026","passed","Fri Jan 16 16:31:38 UTC 2026","","api.projects.DeleteProjectTest","api.projects.DeleteProjectTest","userCannotDeleteProjectWithInvalidId"
